cliente;saldo;historico;soma_pontos;uso_pontos;expirado;avista;soma_avista;aprazo;soma_aprazo;soma_pontualidade
7;3673 ;15673 ;12024 ;12000 ;485 ;00027;00304;00048;6487.00 ;598 
6;3434 ;27434 ;1500 ;0 ;2734 ;00028;00000;00014;0.00 ;0 
5;3235 ;30235 ;13491 ;9000 ;0 ;00045;00292;00168;7684.70 ;1138 
8;2467 ;8467 ;0 ;0 ;2311 ;00004;00000;00025;0.00 ;0 
9;2924 ;29924 ;6319 ;6000 ;0 ;00005;00000;00073;3468.00 ;651 
3;1000 ;1000 ;0 ;0 ;1000 ;00000;00000;00006;0.00 ;0 
10;1000 ;1000 ;0 ;0 ;1000 ;00000;00000;00010;0.00 ;0 
4;1000 ;1000 ;0 ;0 ;1000 ;00000;00000;00003;0.00 ;0 
2;1283 ;1283 ;0 ;0 ;1283 ;00002;00000;00004;0.00 ;0 
1;2095 ;2095 ;0 ;0 ;2095 ;00000;00000;00010;0.00 ;0 
